,budgetListIDX,budgetListName,bLnameLength,MvName,mvNameLength,maxFuzzRatioIDX,maxFuzzRatio,maxFuzzSetRatioIDX,maxFuzzSetRatio,budgetListMvReleaseYR,MvReleaseYR
282,282,The Diary of a Teenage Girl,27,The Diary of a Teenage Girl,27,723,100,723,100,2015,2015.0
283,283,Ricki and the Flash,19,Ricki and the Flash,19,616,100,616,100,2015,2015.0
284,284,Shaun the Sheep,15,Shaun the Sheep Movie,21,629,83,629,100,2015,2015.0
285,285,Bending Steel,13,Steel,5,12321,70,10502,100,2015,1997.0
286,286,Mission: Impossible - Rogue Nation,34,Mission: Impossible - Rogue Nation,34,538,100,538,100,2015,2015.0
287,287,Counting,8,Counting,8,1115,100,1115,100,2015,2015.0
288,288,Beyond the Brick: A LEGO Brickumentary,38,A LEGO Brickumentary,20,914,69,914,100,2015,2015.0
289,289,The Young and Prodigious T.S. Spivet,36,The Young & Prodigious T.S. Spivet,34,861,94,861,100,2015,2015.0
290,290,Vacation,8,Vacation,8,577,100,577,100,2015,2015.0
291,291,Southpaw,8,Southpaw,8,583,100,583,100,2015,2015.0
292,292,Paper Towns,11,Paper Towns,11,608,100,608,100,2015,2015.0
293,293,Pixels,6,Pixels,6,566,100,566,100,2015,2015.0
294,294,The Outrageous Sophie Tucker,28,Outrageous Fortune,18,12952,61,12952,71,2015,1987.0
295,295,The Vatican Tapes,17,The Vatican Tapes,17,718,100,718,100,2015,2015.0
296,296,American Heist,14,Heist,5,11692,86,8968,100,2015,2001.0
297,297,Ant-Man,7,Ant-Man,7,541,100,541,100,2015,2015.0
298,298,Trainwreck,10,Trainwreck,10,555,100,555,100,2015,2015.0
299,299,Dawn of the Crescent Moon,25,Dawn of the Crescent Moon,25,1112,100,1112,100,2015,2015.0
300,300,The Gallows,11,Elevator to the Gallows (2016 re-issue),39,623,100,263,100,2015,2016.0
301,301,Baahubali: The Beginning,24,Baahubali: The Beginning,24,669,100,669,100,2015,2015.0
302,302,Self/Less,9,Self/Less,9,648,100,648,100,2015,2015.0
303,303,Strangerland,12,Strangerland,12,1058,100,1058,100,2015,2015.0
304,304,Minions,7,Minions,7,533,100,533,100,2015,2015.0
305,305,Tiger Orange,12,The Oranges,11,2882,78,2882,78,2015,2012.0
306,306,Stung,5,Sprung,6,10452,73,10452,73,2015,1997.0
307,307,Terminator: Genisys,19,Terminator: Genisys,19,559,100,559,100,2015,2015.0
308,308,Magic Mike XXL,14,Magic Mike XXL,14,573,100,573,100,2015,2015.0
309,309,Viy,3,Levity,6,14088,60,8185,67,2015,2003.0
310,310,Max,3,Max Rose,8,8645,100,302,100,2015,2016.0
311,311,The Algerian,12,The American,12,3972,83,3972,83,2015,2010.0
312,312,Escobar: Paradise Lost,22,Escobar: Paradise Lost,22,850,100,850,100,2015,2015.0
313,313,Ted 2,5,Ted 2,5,564,100,564,100,2015,2015.0
314,314,Crossroads,10,Crossroads,10,8466,100,8466,100,2015,2002.0
315,315,Dope,4,Dope,4,634,100,634,100,2015,2015.0
